"Source_ID","Rupture_ID","Rup_Var_ID","Run_ID","IM_Type_ID","IM_Value"
10,0,3,3872,138,189.867919921875
10,0,3,3872,142,246.09309387207
10,0,3,3872,144,143.782470703125
10,0,3,3872,146,205.605911254883
10,0,3,3872,151,261.026428222656
10,0,3,3872,152,63.2274475097656
10,0,3,3872,154,134.282379150391
10,0,3,3872,158,183.425415039062
10,0,3,3872,160,128.53157043457
10,0,3,3872,162,170.554916381836
10,0,3,3872,167,239.40657043457
10,0,4,3872,1,34.5239028930664
10,0,4,3872,11,99.150032043457
10,0,4,3872,21,167.232788085938
10,0,4,3872,26,222.98551940918
10,0,4,3872,86,101.195983886719
10,0,4,3872,136,77.5314254760742
10,0,4,3872,138,145.229583740234
10,0,4,3872,142,114.557014465332
10,0,4,3872,144,149.823913574219
10,0,4,3872,146,215.2490234375
10,0,4,3872,151,303.6962890625
10,0,4,3872,152,54.9301376342773
10,0,4,3872,154,102.931846618652
10,0,4,3872,158,99.1740264892578
10,0,4,3872,160,124.111351013184
10,0,4,3872,162,168.008331298828
10,0,4,3872,167,219.998733520508
10,0,5,3872,1,19.7658290863037
10,0,5,3872,11,135.637802124023
10,0,5,3872,21,110.427513122559
10,0,5,3872,26,118.542472839355
10,0,5,3872,86,82.6784591674805
10,0,5,3872,136,29.9804439544678
10,0,5,3872,138,54.1687316894531
10,0,5,3872,142,165.731979370117
10,0,5,3872,144,99.7574844360352
10,0,5,3872,146,150.477874755859
10,0,5,3872,151,157.313293457031
10,0,5,3872,152,23.862133026123
10,0,5,3872,154,43.5856399536133
10,0,5,3872,158,143.110061645508
10,0,5,3872,160,82.3362197875977
10,0,5,3872,162,116.950393676758
10,0,5,3872,167,118.249320983887
10,0,6,3872,1,20.7953090667725
10,0,6,3872,11,107.495765686035
10,0,6,3872,21,106.567749023438
10,0,6,3872,26,134.760177612305
10,0,6,3872,86,76.5224456787109
10,0,6,3872,136,33.3291435241699
10,0,6,3872,138,45.7116661071777
10,0,6,3872,142,136.014602661133
10,0,6,3872,144,78.9924087524414
10,0,6,3872,146,140.157257080078
10,0,6,3872,151,180.79638671875
10,0,6,3872,152,24.8690319061279
10,0,6,3872,154,33.6600570678711
10,0,6,3872,158,106.602424621582
10,0,6,3872,160,71.6608657836914
10,0,6,3872,162,119.048606872559
10,0,6,3872,167,133.584503173828
10,0,7,3872,1,26.6259651184082
10,0,7,3872,11,52.6824035644531
10,0,7,3872,21,112.729499816895
10,0,7,3872,26,87.9683456420898
10,0,7,3872,86,67.6504821777344
10,0,7,3872,136,51.6101303100586
10,0,7,3872,138,116.714561462402
10,0,7,3872,142,73.3738403320312
10,0,7,3872,144,62.9701309204102
10,0,7,3872,146,123.670959472656
10,0,7,3872,151,110.681762695312
10,0,7,3872,152,37.3019332885742
10,0,7,3872,154,82.6812515258789
10,0,7,3872,158,55.1936531066895
10,0,7,3872,160,60.3494415283203
10,0,7,3872,162,108.664176940918
10,0,7,3872,167,99.4158020019531
10,0,8,3872,1,29.5462150573731
10,0,8,3872,11,86.517951965332
10,0,8,3872,21,148.910308837891
10,0,8,3872,26,166.032592773438
10,0,8,3872,86,73.4412994384766
10,0,8,3872,136,54.0418014526367
10,0,8,3872,138,138.624328613281
10,0,8,3872,142,121.830215454102
10,0,8,3872,144,93.0987777709961
10,0,8,3872,146,180.238815307617
